id,vendor_inco_term,shipment_mode,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date
86196,N/A - From RDC,Truck,N/A - From RDC,29-May-15,15-May-15,15-May-15
86197,N/A - From RDC,Truck,N/A - From RDC,8-Jun-15,8-Jun-15,19-Jun-15
86198,N/A - From RDC,Truck,N/A - From RDC,8-Jun-15,8-Jun-15,19-Jun-15
86199,N/A - From RDC,Truck,N/A - From RDC,29-May-15,15-May-15,15-May-15
86200,N/A - From RDC,Air Charter,N/A - From RDC,30-Jun-15,28-Apr-15,29-Apr-15
86203,N/A - From RDC,Air Charter,N/A - From RDC,30-Jun-15,15-May-15,22-May-15
86204,N/A - From RDC,Air Charter,N/A - From RDC,30-Jun-15,15-May-15,22-May-15
86205,N/A - From RDC,Air Charter,N/A - From RDC,30-Jun-15,15-May-15,22-May-15
86206,N/A - From RDC,Air,N/A - From RDC,2-Jun-15,22-Jun-15,24-Jun-15
86207,N/A - From RDC,Air,N/A - From RDC,8-Jul-15,7-Aug-15,27-Aug-15
86208,N/A - From RDC,Truck,N/A - From RDC,31-Jul-15,23-Jul-15,23-Jul-15
86209,N/A - From RDC,Truck,N/A - From RDC,31-Aug-15,25-Aug-15,3-Sep-15
86210,N/A - From RDC,Truck,N/A - From RDC,31-Aug-15,25-Aug-15,3-Sep-15
86211,N/A - From RDC,Air,N/A - From RDC,18-Aug-15,25-Aug-15,27-Aug-15
86212,N/A - From RDC,Truck,N/A - From RDC,14-Aug-15,20-Aug-15,25-Aug-15
86213,N/A - From RDC,Truck,N/A - From RDC,31-Aug-15,4-Aug-15,11-Aug-15
86216,N/A - From RDC,Air,N/A - From RDC,8-Sep-15,26-Aug-15,2-Sep-15
86235,N/A - From RDC,Air Charter,N/A - From RDC,30-Jul-09,4-Aug-09,4-Aug-09
86236,N/A - From RDC,Air,N/A - From RDC,30-Jul-09,9-Jul-09,9-Jul-09
86237,N/A - From RDC,Air Charter,N/A - From RDC,31-Aug-09,4-Aug-09,4-Aug-09
86238,N/A - From RDC,Air Charter,N/A - From RDC,30-Oct-09,20-Oct-09,20-Oct-09
86239,N/A - From RDC,Air Charter,N/A - From RDC,30-Oct-09,20-Oct-09,20-Oct-09
86240,N/A - From RDC,Air Charter,N/A - From RDC,31-Oct-09,20-Oct-09,20-Oct-09
86241,N/A - From RDC,Air Charter,N/A - From RDC,15-Oct-09,20-Oct-09,20-Oct-09
86242,N/A - From RDC,Air Charter,N/A - From RDC,18-Dec-09,20-Nov-09,20-Nov-09
86243,N/A - From RDC,Air,N/A - From RDC,1-Dec-09,2-Dec-09,2-Dec-09
86244,N/A - From RDC,Air,N/A - From RDC,1-Dec-09,2-Dec-09,2-Dec-09
86245,N/A - From RDC,Air,N/A - From RDC,17-Jan-10,25-Nov-09,25-Nov-09
86246,N/A - From RDC,Air,N/A - From RDC,14-Jan-10,31-Dec-09,31-Dec-09
86247,N/A - From RDC,Truck,N/A - From RDC,18-Dec-09,7-Dec-09,7-Dec-09
86248,N/A - From RDC,Air,N/A - From RDC,26-Feb-10,16-Jan-10,16-Jan-10
86249,N/A - From RDC,Air Charter,N/A - From RDC,31-Jan-10,18-Dec-09,18-Dec-09
86250,N/A - From RDC,Air,N/A - From RDC,10-Feb-10,7-Jan-10,7-Jan-10
86251,N/A - From RDC,Air,N/A - From RDC,17-Feb-10,23-Dec-09,23-Dec-09
86252,N/A - From RDC,Air,N/A - From RDC,17-Feb-10,23-Dec-09,23-Dec-09
86253,N/A - From RDC,Air,N/A - From RDC,17-Jan-10,11-Jan-10,11-Jan-10
86256,N/A - From RDC,Air,N/A - From RDC,5-Mar-10,24-Feb-10,24-Feb-10
86257,N/A - From RDC,Air,N/A - From RDC,8-Feb-10,23-Jan-10,23-Jan-10
86258,N/A - From RDC,Air,N/A - From RDC,30-Nov-09,22-Nov-09,22-Nov-09
86259,N/A - From RDC,Truck,N/A - From RDC,22-Mar-10,29-Jan-10,29-Jan-10
86260,N/A - From RDC,Truck,N/A - From RDC,3-Mar-10,29-Jan-10,29-Jan-10
86261,N/A - From RDC,Truck,N/A - From RDC,25-Feb-10,29-Jan-10,29-Jan-10
86262,N/A - From RDC,Air,N/A - From RDC,5-Mar-10,3-Mar-10,3-Mar-10
86263,N/A - From RDC,Truck,N/A - From RDC,25-Feb-10,18-Feb-10,18-Feb-10
